year,Heat
1800,2.8851453635070357e-06
1801,2.5699067236928387e-06
1802,2.5737921873769665e-06
1803,2.6276063473622865e-06
1804,2.527209598416188e-06
1805,2.2306533894931946e-06
1806,2.299735553736225e-06
1807,2.0775192167223267e-06
1808,2.000218988281891e-06
1809,1.834361195765918e-06
1810,1.7392494880498686e-06
1811,1.7102249298009805e-06
1812,1.7597301393834641e-06
1813,1.5911489137059626e-06
1814,1.5806141066475123e-06
1815,1.837071782314784e-06
1816,1.992662321624396e-06
1817,1.8229342231279588e-06
1818,1.9068018640869662e-06
1819,1.8571229572574209e-06
1820,1.8209349101588096e-06
1821,1.809705232907228e-06
1822,1.6491407320375271e-06
1823,1.5965715160096546e-06
1824,1.5916205841546928e-06
1825,1.458956473600535e-06
1826,1.4549754691220836e-06
1827,1.5312681236017461e-06
1828,1.6077237238018175e-06
1829,1.6548447092645802e-06
1830,1.5355182248250848e-06
1831,1.5957192057872556e-06
1832,1.921976117305998e-06
1833,1.992769918095811e-06
1834,1.9272753206678317e-06
1835,1.8605768283513108e-06
1836,1.8264842408046076e-06
1837,1.9207928646989913e-06
1838,1.9056442559823544e-06
1839,1.6118165311646798e-06
1840,1.512389352293602e-06
1841,1.5581208247437774e-06
1842,1.5669485427289537e-06
1843,1.7999863725240824e-06
1844,1.8845393339818526e-06
1845,2.0602537590873127e-06
1846,2.1043761080363765e-06
1847,2.2486466702633024e-06
1848,2.39903710865162e-06
1849,2.492736647192422e-06
1850,2.3878188000838108e-06
1851,2.3420659545081435e-06
1852,2.193531193890002e-06
1853,2.2290211063591414e-06
1854,2.256054407163382e-06
1855,2.3022388404569938e-06
1856,2.3309342103467704e-06
1857,2.598325165438707e-06
1858,2.6272508648617077e-06
1859,2.729144041170782e-06
1860,2.8856366043328308e-06
1861,3.107129129732909e-06
1862,3.217908702676401e-06
1863,3.386092787747787e-06
1864,3.2530537542438e-06
1865,3.3579500008532444e-06
1866,3.5895879721335533e-06
1867,3.844722251804862e-06
1868,3.921395773431868e-06
1869,3.96534008879306e-06
1870,4.082783042187137e-06
1871,4.231809433414517e-06
1872,4.338550362652833e-06
1873,4.437238983103141e-06
1874,4.28536720521931e-06
1875,4.32038151692333e-06
1876,4.483680705951494e-06
1877,4.407287633512169e-06
1878,4.492958071620835e-06
1879,4.410980149519414e-06
1880,4.269765863032912e-06
1881,4.285208888177294e-06
1882,4.235018163204326e-06
1883,4.092112184090573e-06
1884,4.1072702125737644e-06
1885,4.028286964187698e-06
1886,4.2749781446868184e-06
