year,Hide and Seek
1800,0.0
1801,0.0
1802,0.0
1803,5.109075829068388e-09
1804,5.109075829068388e-09
1805,5.109075829068388e-09
1806,5.109075829068388e-09
1807,6.072795536279532e-09
1808,6.072795536279532e-09
1809,6.072795536279532e-09
1810,9.637197072111446e-10
1811,9.637197072111446e-10
1812,9.637197072111446e-10
1813,9.637197072111446e-10
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,1.947189837941161e-09
1819,1.947189837941161e-09
1820,1.947189837941161e-09
1821,1.947189837941161e-09
1822,1.947189837941161e-09
1823,2.574992790422519e-09
1824,5.44825048568295e-09
1825,4.448130816062498e-09
1826,4.448130816062498e-09
1827,4.448130816062498e-09
1828,4.806944334642285e-09
1829,5.0676014813027285e-09
1830,4.43979852882137e-09
1831,2.8586688889069886e-09
1832,2.1543660189138336e-09
1833,2.3746683667066495e-09
1834,3.6305506220405246e-09
1835,3.2717371034607368e-09
1836,3.7397950133514055e-09
1837,3.7397950133514055e-09
1838,2.4476669580053567e-09
1839,5.202651040140235e-09
1840,5.446624928850952e-09
1841,4.58413253388658e-09
1842,4.7662810682374305e-09
1843,4.209296942749217e-09
1844,5.504715318492361e-09
1845,7.229135797918015e-09
1846,5.262508746233558e-09
1847,5.7055863208635824e-09
1848,5.941392267061474e-09
1849,6.616094894162927e-09
1850,6.781544976368943e-09
1851,8.825669591975123e-09
1852,7.655007929128845e-09
1853,6.824298618265548e-09
1854,7.517595847415594e-09
1855,8.595971521886879e-09
1856,1.0479739774384354e-08
1857,1.1651996288465836e-08
1858,1.3673887514339559e-08
1859,1.6002014665720106e-08
1860,1.7684488667108715e-08
1861,1.7446360292946598e-08
1862,1.882084075889777e-08
1863,2.0247827034073192e-08
1864,2.0264157590028324e-08
1865,1.8380777788706837e-08
1866,1.9415055468081325e-08
1867,2.0872978520206483e-08
1868,2.2508845200418037e-08
1869,2.1563084397411914e-08
1870,2.2343521191966635e-08
1871,2.6564008136022365e-08
1872,2.71974630753188e-08
1873,2.6953198530220235e-08
1874,2.6714891124665234e-08
1875,2.682707085049125e-08
1876,2.670380792681369e-08
1877,2.3507663117681788e-08
1878,2.0154645952175088e-08
1879,1.912429351388515e-08
1880,1.7183927423859913e-08
1881,1.5371956533069157e-08
1882,1.306694619174209e-08
1883,1.3482406112176802e-08
1884,1.5299217956002816e-08
1885,1.5726915198704157e-08
1886,1.4731744776444851e-08
1887,1.5609688843097403e-08
1888,1.803821872822401e-08
1889,1.8767217240573634e-08
1890,1.8798403722541934e-08
1891,1.6801956905153148e-08
1892,1.6624840424940756e-08
1893,1.649652287787668e-08
1894,1.7434380161773788e-08
1895,1.7552278487796358e-08
1896,1.8947849511619097e-08
1897,1.8345905873827306e-08
1898,1.919900314918875e-08
1899,1.9486647089601254e-08
1900,1.9625559717033932e-08
1901,1.8446254682455025e-08
1902,1.96370169648828e-08
1903,1.9244282231259798e-08
1904,1.977563065683593e-08
