year,Lucky
1800,1.0368242442382325e-07
1801,9.38538747163875e-08
1802,8.138952741395163e-08
1803,9.019875538537495e-08
1804,4.592768984171666e-08
1805,8.469305409367475e-08
1806,9.475626581791272e-08
1807,9.668370523233502e-08
1808,9.814353456911412e-08
1809,9.971191656481843e-08
1810,1.1802476088515082e-07
1811,1.0897972238918133e-07
1812,8.464745945449944e-08
1813,7.975695621403084e-08
1814,8.023949073430816e-08
1815,9.08083977537087e-08
1816,9.066812240681494e-08
1817,7.060306954948764e-08
1818,6.759285880215365e-08
1819,7.668830827510322e-08
1820,1.1778763691389876e-07
1821,1.320651824089834e-07
1822,1.4495194682646278e-07
1823,1.6277297376632305e-07
1824,1.6075377473612207e-07
1825,1.6635662092312486e-07
1826,1.561184289146565e-07
1827,1.25527017352007e-07
1828,1.2606254630652204e-07
1829,2.0257101088613387e-07
1830,1.9953739942885867e-07
1831,2.045802562276679e-07
1832,2.1766291423221317e-07
1833,2.409427446130914e-07
1834,2.3782094160651468e-07
1835,2.512236757671157e-07
1836,1.6702754481100003e-07
1837,1.7410409165157554e-07
1838,2.0246378694212452e-07
1839,2.0211428112101464e-07
1840,1.880614896825656e-07
1841,1.9281182111236766e-07
1842,1.8805112996947822e-07
1843,1.949738666391048e-07
1844,1.9819727015146782e-07
1845,1.743410129912653e-07
1846,1.7851863073506786e-07
1847,1.889684223702456e-07
1848,1.9506535206151705e-07
1849,1.9967967952132832e-07
1850,1.9325109081234716e-07
1851,1.9001960335377328e-07
1852,1.9182860658669858e-07
1853,2.019678727752502e-07
1854,2.0284301984117648e-07
1855,2.0309899793703933e-07
1856,2.27541592932669e-07
1857,3.331336598323885e-07
1858,4.073079265611211e-07
1859,4.151311908831953e-07
1860,4.3125138355597823e-07
1861,4.376034630532948e-07
1862,4.6839098542607515e-07
1863,4.5229350981961556e-07
1864,3.752941617156986e-07
1865,3.3473573271943937e-07
1866,3.475797143437376e-07
1867,3.764583798978752e-07
1868,3.988165693564432e-07
1869,3.913653919036213e-07
1870,4.2368063597158265e-07
1871,4.1536502034692345e-07
1872,4.2862707719645445e-07
1873,4.254541059773536e-07
1874,3.9921973130471346e-07
1875,3.867028510740056e-07
1876,4.0339665880700135e-07
1877,3.810404872898029e-07
1878,3.879696310247839e-07
1879,3.851466163138996e-07
1880,4.134696618101381e-07
1881,4.2254364984728454e-07
1882,4.4878813858823765e-07
1883,4.3959571322765054e-07
1884,4.5428023197148703e-07
1885,4.687406658376858e-07
1886,4.5224975662806954e-07
1887,4.4459807213570457e-07
1888,4.5806227230319306e-07
1889,4.5435758368382396e-07
1890,4.7233035210021104e-07
1891,4.77299327680417e-07
1892,4.852477916626543e-07
1893,5.194185876332215e-07
1894,5.394403664078189e-07
1895,5.449876588110263e-07
1896,5.576724951034911e-07
1897,5.708619791481137e-07
1898,5.726142100164517e-07
1899,5.921599738810203e-07
1900,6.082128071024531e-07
1901,6.258275919078317e-07
1902,6.403912899648796e-07
1903,6.638952478559596e-07
1904,6.865556412906569e-07
1905,7.304457117892785e-07
1906,7.781333124512457e-07
1907,7.880756973983287e-07
1908,8.123676187616573e-07
1909,8.39673061493938e-07
1910,8.747602870633793e-07
1911,8.932281941399976e-07
1912,8.934146567948378e-07
1913,8.909842920599788e-07
1914,9.05630177580211e-07
1915,9.004891369711134e-07
1916,9.049567454764786e-07
1917,8.928006341843034e-07
1918,8.959275906558364e-07
1919,9.164115713896795e-07
1920,8.969790639769469e-07
