year,Sense And Sensibility
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,2.952931748329795e-11
1901,2.952931748329795e-11
1902,2.952931748329795e-11
1903,2.952931748329795e-11
1904,2.952931748329795e-11
1905,2.952931748329795e-11
1906,2.952931748329795e-11
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,0.0
1922,0.0
1923,0.0
1924,0.0
1925,0.0
1926,0.0
1927,0.0
1928,0.0
1929,0.0
1930,0.0
1931,0.0
1932,0.0
1933,0.0
1934,0.0
1935,0.0
1936,0.0
1937,0.0
1938,0.0
1939,0.0
1940,0.0
1941,0.0
1942,0.0
1943,3.015325092789059e-11
1944,3.015325092789059e-11
1945,3.015325092789059e-11
1946,3.015325092789059e-11
1947,3.015325092789059e-11
1948,3.015325092789059e-11
1949,3.015325092789059e-11
1950,5.039037044772345e-11
1951,5.039037044772345e-11
1952,5.039037044772345e-11
1953,5.039037044772345e-11
1954,5.039037044772345e-11
1955,5.039037044772345e-11
1956,5.039037044772345e-11
1957,1.1600201751552471e-10
1958,1.3381696346253287e-10
1959,1.3381696346253287e-10
1960,1.3381696346253287e-10
1961,1.3381696346253287e-10
1962,1.3381696346253287e-10
1963,1.646768634154329e-10
1964,6.242774452142846e-11
1965,8.521846819479047e-11
1966,1.3853382825810912e-10
1967,1.3853382825810912e-10
1968,1.5192866706767053e-10
1969,1.655236027607389e-10
1970,1.3466370280783886e-10
1971,1.209108041863186e-10
1972,8.030513456594842e-11
1973,3.431428464785645e-10
1974,3.431428464785645e-10
1975,3.2974800766900307e-10
1976,3.758298830877241e-10
1977,3.8781594404100975e-10
1978,3.9995659066395714e-10
1979,4.241334713994682e-10
1980,1.0798039942353351e-10
1981,1.1953121131780264e-10
1982,2.8792019661296106e-10
1983,3.637789048168852e-10
1984,3.517928438635996e-10
1985,3.396521972406522e-10
1986,3.259269312771984e-10
1987,3.259269312771984e-10
1988,3.2474865852005763e-10
1989,1.563596732248992e-10
1990,2.0824153909185636e-11
1991,4.0653321978619974e-11
1992,4.0653321978619974e-11
1993,1.0965021846847428e-10
1994,1.906840013269192e-10
1995,2.101908151498831e-10
1996,2.501676227284477e-10
1997,2.684945262153095e-10
1998,3.0385726474640203e-10
1999,3.1282635410650224e-10
2000,2.593146867870187e-10
2001,1.954448666400107e-10
2002,1.7495190217177636e-10
2003,1.349750945932117e-10
2004,1.5496290758524164e-10
2005,1.3903909769550993e-10
2006,1.4011761592261759e-10
2007,1.1418077198018953e-10
2008,1.0931693149902294e-10
2009,1.0939580491475809e-10
2010,1.5089427227562727e-10
2011,1.2505186568796082e-10
2012,8.578376897716566e-11
2013,7.573616138995781e-11
2014,7.573616138995781e-11
2015,6.343603915968745e-11
2016,5.3970777252094444e-11
2017,1.455102820642947e-11
2018,0.0
2019,0.0
