year,Three wishes
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,2.626419875235391e-10
1831,2.626419875235391e-10
1832,2.626419875235391e-10
1833,2.626419875235391e-10
1834,2.626419875235391e-10
1835,2.626419875235391e-10
1836,4.948494312730287e-10
1837,2.3220744374948969e-10
1838,2.3220744374948969e-10
1839,2.3220744374948969e-10
1840,6.757566093997167e-10
1841,6.757566093997167e-10
1842,6.757566093997167e-10
1843,4.4354916565022707e-10
1844,4.4354916565022707e-10
1845,4.4354916565022707e-10
1846,4.4354916565022707e-10
1847,1.4443527326538482e-10
1848,1.4443527326538482e-10
1849,1.4443527326538482e-10
1850,1.4443527326538482e-10
1851,1.4443527326538482e-10
1852,2.5028304032456306e-10
1853,2.5028304032456306e-10
1854,1.0584776705917826e-10
1855,1.0584776705917826e-10
1856,1.0584776705917826e-10
1857,1.0584776705917826e-10
1858,1.0584776705917826e-10
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,1.0079968605834568e-10
1867,1.943657853712263e-10
1868,2.9281581128058423e-10
1869,2.9281581128058423e-10
1870,3.8170912462577785e-10
1871,3.8170912462577785e-10
1872,3.8170912462577785e-10
1873,6.059842944899125e-10
1874,5.124181951770318e-10
1875,4.13968169267674e-10
1876,4.13968169267674e-10
1877,5.814247337556009e-10
1878,5.814247337556009e-10
1879,7.087922946981604e-10
1880,5.601256760000086e-10
1881,6.159047557677663e-10
1882,7.338235495448129e-10
1883,7.338235495448129e-10
1884,4.774736717116923e-10
1885,4.774736717116923e-10
1886,3.501061107691328e-10
1887,2.1883016034150516e-10
1888,1.237096314277153e-09
1889,1.2478704498291344e-09
1890,1.3731313784427967e-09
1891,1.539237269389458e-09
1892,1.7136849479142719e-09
1893,1.7880671625875826e-09
1894,1.8482016393507804e-09
1895,1.044148973632681e-09
1896,1.0365058097531028e-09
1897,9.39244703837946e-10
1898,9.117776751864173e-10
1899,7.373299966616034e-10
1900,7.75076572367972e-10
1901,8.323330734955852e-10
1902,1.1220759381171318e-09
1903,1.3019487928232566e-09
1904,1.6474993353681506e-09
1905,1.6771298397674376e-09
1906,2.025526674958351e-09
1907,2.175204667181114e-09
1908,2.0892025569858267e-09
1909,1.605673419621415e-09
1910,1.3429518489324214e-09
1911,1.1054508142205322e-09
1912,2.618973930580891e-09
1913,2.56005724952324e-09
1914,2.390776882021939e-09
1915,2.9675596781496084e-09
1916,2.9308128582769146e-09
1917,3.478447696547704e-09
1918,3.94534983254908e-09
1919,3.106053771327412e-09
1920,3.2346619430586745e-09
