year,amira
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,1.490351841937354e-09
1811,1.490351841937354e-09
1812,1.490351841937354e-09
1813,1.490351841937354e-09
1814,9.925260486503312e-09
1815,9.925260486503312e-09
1816,9.925260486503312e-09
1817,1.8495575610748867e-08
1818,1.8495575610748867e-08
1819,1.8495575610748867e-08
1820,1.8495575610748867e-08
1821,1.0060666966182907e-08
1822,1.0060666966182907e-08
1823,1.0060666966182907e-08
1824,0.0
1825,9.470701683207088e-10
1826,9.470701683207088e-10
1827,9.470701683207088e-10
1828,9.470701683207088e-10
1829,9.470701683207088e-10
1830,1.2215555551214103e-09
1831,1.4799811693626858e-09
1832,5.329110010419771e-10
1833,9.735156966276089e-10
1834,9.735156966276089e-10
1835,1.2519319073486405e-09
1836,1.2519319073486405e-09
1837,9.774465205479389e-10
1838,9.529809481228263e-10
1839,9.529809481228263e-10
1840,7.445143707889607e-10
1841,7.445143707889607e-10
1842,4.660981600679293e-10
1843,4.660981600679293e-10
1844,4.660981600679293e-10
1845,2.321381182517663e-10
1846,2.321381182517663e-10
1847,0.0
1848,0.0
1849,1.2240730651313925e-10
1850,1.2240730651313925e-10
1851,2.2360557849765428e-10
1852,2.2360557849765428e-10
1853,3.238130874549938e-10
1854,4.381453057509889e-10
1855,4.381453057509889e-10
1856,3.1573799923784966e-10
1857,3.1573799923784966e-10
1858,2.1453972725333463e-10
1859,3.946576002508298e-10
1860,2.944500912934903e-10
1861,1.801178729974952e-10
1862,1.801178729974952e-10
1863,1.801178729974952e-10
1864,1.801178729974952e-10
1865,1.801178729974952e-10
1866,3.1752679850529017e-10
1867,5.140451556481399e-10
1868,6.17437894463129e-10
1869,6.17437894463129e-10
1870,7.107971909471798e-10
1871,7.107971909471798e-10
1872,7.107971909471798e-10
1873,3.9327039244188965e-10
1874,2.8539502507283846e-10
1875,5.374958890667716e-10
1876,6.180170185134313e-10
1877,6.59419082830023e-10
1878,7.961755302662457e-10
1879,8.631572044416811e-10
1880,8.631572044416811e-10
1881,8.918354705527471e-10
1882,5.36341867743825e-10
1883,5.122972046578411e-10
1884,3.7753584385719867e-10
1885,2.9301893451310386e-10
1886,2.2603726033766846e-10
1887,3.209273402582369e-10
1888,2.9775959475841773e-10
1889,3.428936301563823e-10
1890,3.303399260483937e-10
1891,3.303399260483937e-10
1892,3.14820090631583e-10
1893,3.539734695832765e-10
1894,2.5908338966270806e-10
1895,2.0045730551667062e-10
1896,3.464185842944849e-10
1897,5.383981673188844e-10
1898,5.968405769607443e-10
1899,5.900337579634041e-10
1900,5.508803790117106e-10
1901,5.794108526302466e-10
1902,6.56234808557191e-10
1903,5.972954075783576e-10
1904,4.139003029202115e-10
1905,3.5545789327835157e-10
1906,4.1733216684024047e-10
1907,4.809795875074638e-10
1908,4.726118960470974e-10
1909,4.2050907002520535e-10
