year,fgh
1800,1.819384731760465e-08
1801,1.455507785408372e-08
1802,1.530719669536514e-08
1803,1.5674992224847173e-08
1804,1.2383486743975221e-08
1805,1.2383486743975221e-08
1806,1.9092294221780193e-08
1807,2.451567203211523e-08
1808,2.5837273653905868e-08
1809,2.3113303525081263e-08
1810,2.2049117452484423e-08
1811,2.2049117452484423e-08
1812,2.2049117452484423e-08
1813,2.0513018458448836e-08
1814,7.984661947497379e-09
1815,7.70622448393559e-09
1816,1.9124435114901772e-08
1817,2.1945797687042808e-08
1818,2.9734557038807452e-08
1819,3.4963123824687566e-08
1820,3.292750262927159e-08
1821,4.227251399718008e-08
1822,4.648581304016781e-08
1823,4.0090026029052494e-08
1824,3.807691787268855e-08
1825,3.4076439194206746e-08
1826,2.970531490628251e-08
1827,3.039277058596619e-08
1828,2.2124199742076404e-08
1829,2.5208765233994005e-08
1830,2.2107739258306732e-08
1831,2.652819919291005e-08
1832,2.662419529286808e-08
1833,2.796977633628168e-08
1834,2.665699787891234e-08
1835,2.6972638471940106e-08
1836,2.446133023121482e-08
1837,2.30500510107439e-08
1838,1.8202665152955433e-08
1839,2.0313891140639432e-08
1840,2.368218243731235e-08
1841,2.33340621745372e-08
1842,2.4309911924750135e-08
1843,2.1743079083234662e-08
1844,2.4008856997730684e-08
1845,2.5758459492359568e-08
1846,2.2512621608175972e-08
1847,1.784866058126714e-08
1848,1.820179955964412e-08
1849,1.718034907988957e-08
1850,1.54909729488395e-08
1851,1.463784382593758e-08
1852,1.1459568024666363e-08
1853,9.812185730595502e-09
1854,1.2563462904933788e-08
1855,1.1144404256567344e-08
1856,1.0236422979100927e-08
1857,1.0819250860296035e-08
1858,1.303244708975423e-08
1859,1.3309911553857238e-08
1860,1.323465936842183e-08
1861,1.4208605117868193e-08
1862,1.4138231188961673e-08
1863,1.6002882511198128e-08
1864,1.7367546321724247e-08
1865,1.6014026612712736e-08
1866,1.6881189018087232e-08
1867,1.7328046299423605e-08
1868,1.6210822652494372e-08
1869,1.707326800572316e-08
1870,1.6170506965197873e-08
1871,1.4265638067659633e-08
1872,1.2884845317679655e-08
1873,1.180956944933444e-08
1874,1.1310754682065344e-08
1875,9.039629172186941e-09
1876,8.357650127521765e-09
1877,9.58510737447682e-09
1878,1.2276801353294786e-08
1879,1.2415728825995335e-08
1880,1.3387541932173365e-08
1881,1.2999075276504918e-08
1882,1.3303999108720582e-08
1883,1.2886852664349493e-08
1884,1.119236087936721e-08
1885,7.772604782019243e-09
1886,7.180201956811873e-09
1887,7.641277452056069e-09
1888,8.98481815931567e-09
1889,8.473749575037864e-09
1890,8.034461159870228e-09
1891,7.668867826485633e-09
1892,7.368310913794371e-09
1893,6.968282585871423e-09
1894,5.7251125110521375e-09
1895,4.327876913988251e-09
1896,3.9904769012975655e-09
1897,4.31731406180802e-09
1898,4.070985802430625e-09
1899,4.141553988645796e-09
1900,4.4792861800654495e-09
1901,4.576062861971764e-09
1902,5.250928866321455e-09
1903,4.920282625775485e-09
1904,4.609614055541198e-09
1905,5.048372259912932e-09
1906,4.941011790192209e-09
1907,4.437016817452186e-09
1908,4.3841865058981605e-09
1909,3.6985632968976135e-09
1910,3.751145996996488e-09
1911,4.018879070802736e-09
1912,3.6568265241295907e-09
1913,3.830445928697048e-09
1914,3.7213453588488423e-09
1915,3.1903106822994687e-09
1916,3.000548603233304e-09
1917,2.8366238881614792e-09
1918,2.549643892838357e-09
1919,2.554766525315293e-09
1920,2.5761282313701325e-09
1921,2.865588052561715e-09
1922,2.8329876539905693e-09
1923,3.4820685065487365e-09
1924,3.5147123307004743e-09
1925,3.87289841466806e-09
1926,3.912145940532241e-09
1927,3.8770008473473385e-09
1928,3.656144625147866e-09
1929,3.5493051910227636e-09
1930,3.224238614191981e-09
1931,3.6090421048510078e-09
1932,3.2589539876250383e-09
1933,3.470831677621078e-09
1934,3.0572226892923636e-09
1935,2.9122618998884367e-09
1936,3.1579637793655024e-09
1937,2.7105919889588594e-09
1938,2.314594246425169e-09
1939,2.214421106800606e-09
1940,1.6278922495719224e-09
1941,1.3677542194073006e-09
1942,1.5752716670774142e-09
1943,1.495247378294603e-09
1944,1.4444773551883623e-09
1945,1.2729462404794033e-09
1946,1.293206256366578e-09
1947,1.5728291843534033e-09
1948,1.8354516716025314e-09
1949,2.4396323453476245e-09
1950,2.929066695538702e-09
1951,2.9164677894932822e-09
1952,3.1985937073589608e-09
1953,3.1347119820525548e-09
1954,3.002073129770062e-09
1955,3.164402517796816e-09
1956,2.2559886181383604e-09
1957,2.472678078164441e-09
1958,2.5407917833167713e-09
1959,3.14937601394608e-09
1960,3.4666449235030784e-09
1961,4.4657384298421985e-09
1962,4.420914666093876e-09
1963,4.722382389894213e-09
1964,4.545194918849558e-09
1965,4.723937051055925e-09
1966,4.031177201570455e-09
1967,3.98444074559531e-09
1968,3.1991400956903656e-09
1969,3.2172379680974116e-09
1970,3.3660030952985055e-09
1971,3.602864165738343e-09
1972,3.6278897029364187e-09
1973,3.904993598321685e-09
1974,3.851644051319372e-09
1975,4.0414260826793225e-09
1976,4.238962324011806e-09
1977,4.348251853818803e-09
1978,3.875416876297777e-09
1979,4.243618472494453e-09
1980,4.236555994907576e-09
1981,4.118638128959771e-09
1982,4.1737771968744906e-09
1983,3.902631075445941e-09
1984,3.411409297905875e-09
1985,3.321614269350245e-09
1986,4.051349779464277e-09
1987,3.816674960204531e-09
1988,3.961194753162747e-09
1989,3.648348274281383e-09
1990,3.7028012560875415e-09
1991,4.060262634045639e-09
1992,4.0847488248983515e-09
1993,3.1750596120515085e-09
1994,3.2382986133886303e-09
1995,3.0906602039542416e-09
1996,3.209672432597748e-09
1997,3.297781222702919e-09
1998,3.011473181935287e-09
1999,2.7937280901367346e-09
2000,2.5078209509032945e-09
2001,2.454513275169339e-09
2002,2.4742835558200227e-09
2003,2.3532944957795264e-09
2004,2.05045693123042e-09
2005,1.9585473719020895e-09
2006,2.2901741297027503e-09
2007,2.4675737485070825e-09
2008,2.5708170354426282e-09
2009,2.620903922461488e-09
2010,2.5422859531839694e-09
2011,2.727775291358877e-09
2012,3.0180489218878392e-09
2013,2.7325050159073984e-09
2014,2.547016058380385e-09
2015,2.441336878687496e-09
2016,2.2113036481284455e-09
2017,2.2530538175876322e-09
2018,2.1623663304382033e-09
2019,1.9372821680185837e-09
