year,heat
1800,7.795345482008997e-05
1801,7.96591120888479e-05
1802,8.109657210297883e-05
1803,8.64453790459915e-05
1804,9.229622862351659e-05
1805,8.912682356562332e-05
1806,9.165427036350593e-05
1807,9.175974992103875e-05
1808,8.680221955208773e-05
1809,8.465928476653062e-05
1810,8.003704975375772e-05
1811,7.678108262812852e-05
1812,7.560661937791988e-05
1813,7.335945546011706e-05
1814,6.861806728660927e-05
1815,7.745999963455168e-05
1816,8.368645337343748e-05
1817,7.878936854207755e-05
1818,8.484678723367065e-05
1819,8.697802747649672e-05
1820,8.550657314896983e-05
1821,8.721725680516101e-05
1822,7.972624371177517e-05
1823,7.41384610591922e-05
1824,7.500045571110345e-05
1825,6.801709033814924e-05
1826,6.688014816193442e-05
1827,7.088895654305816e-05
1828,7.068917433831043e-05
1829,7.025282528567394e-05
1830,6.76909351438683e-05
1831,6.793607203040406e-05
1832,6.802521602367051e-05
1833,6.761689032178506e-05
1834,6.427793726158728e-05
1835,6.258596736837976e-05
1836,6.335151088673488e-05
1837,6.492158614232071e-05
1838,6.454506157232183e-05
1839,6.556733049884704e-05
1840,6.512398873123207e-05
1841,6.600383130717091e-05
1842,6.709144560902911e-05
1843,7.003789765544102e-05
1844,7.072023176338657e-05
1845,7.345048756438441e-05
1846,7.314770690365029e-05
1847,7.5582429417409e-05
1848,7.697391889191099e-05
1849,7.643220513792974e-05
1850,7.473727704824082e-05
1851,7.422665346114497e-05
1852,7.251490127860702e-05
1853,7.225119562852862e-05
1854,7.221859414130449e-05
1855,7.360517442326195e-05
1856,7.46478357801347e-05
1857,7.68257471333657e-05
1858,7.682825733874259e-05
1859,7.789621096370476e-05
1860,8.023702477138224e-05
1861,8.049389829726092e-05
1862,8.086116265206198e-05
1863,8.049957042593243e-05
1864,7.99046891708193e-05
1865,7.987283814665196e-05
1866,8.3643887981972e-05
1867,8.307415763348607e-05
1868,8.390928373306192e-05
1869,8.419655620985265e-05
1870,8.674770340024094e-05
1871,8.710599234161367e-05
1872,8.860149682732299e-05
1873,8.585483530103894e-05
1874,8.457465654438627e-05
1875,8.418317676322269e-05
1876,8.393373614775815e-05
1877,8.214521013932037e-05
1878,8.216008115726124e-05
1879,8.05717780687181e-05
1880,8.065363051303263e-05
1881,8.082132366585679e-05
1882,7.99520338270148e-05
1883,7.837181744564856e-05
1884,7.679506234126166e-05
1885,7.468826827659671e-05
1886,7.536921267663794e-05
1887,7.578755529331309e-05
1888,7.507512886409781e-05
