year,lipin
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,7.176270371595755e-10
1829,8.47955610489797e-10
1830,8.47955610489797e-10
1831,8.47955610489797e-10
1832,8.47955610489797e-10
1833,1.068257958282613e-09
1834,1.068257958282613e-09
1835,6.29047131844069e-10
1836,1.4703386127682246e-09
1837,1.7253978246145607e-09
1838,1.7253978246145607e-09
1839,1.7253978246145607e-09
1840,1.5050954768217446e-09
1841,1.5050954768217446e-09
1842,1.2266792661007132e-09
1843,7.70251989174702e-10
1844,5.15192777328366e-10
1845,5.15192777328366e-10
1846,8.589008869210244e-10
1847,8.589008869210244e-10
1848,1.1105792000317853e-09
1849,1.1105792000317853e-09
1850,5.953864227034192e-10
1851,6.965846946879342e-10
1852,6.965846946879342e-10
1853,5.532916030099549e-10
1854,5.532916030099549e-10
1855,3.016132898991941e-10
1856,4.11238067408805e-10
1857,4.11238067408805e-10
1858,4.6322362612372103e-10
1859,4.6322362612372103e-10
1860,4.339803357947655e-10
1861,4.339803357947655e-10
1862,4.339803357947655e-10
1863,3.243555582851546e-10
1864,4.417223333140287e-10
1865,3.879114886449843e-10
1866,5.995960156950681e-10
1867,4.284242881093446e-10
1868,4.284242881093446e-10
1869,5.105893327187313e-10
1870,5.105893327187313e-10
1871,4.830077924923768e-10
1872,3.836348064619902e-10
1873,1.719502794119064e-10
1874,1.719502794119064e-10
1875,2.6082368011413695e-10
1876,2.5917976495141003e-10
1877,2.5917976495141003e-10
1878,1.6939453014889035e-10
1879,3.033578784997612e-10
1880,3.651983437880091e-10
1881,3.651983437880091e-10
1882,3.3829099838860495e-10
1883,3.1424633530262117e-10
1884,4.2405278494988304e-10
1885,4.76292323042011e-10
1886,4.845553323664018e-10
1887,9.920553783222224e-10
1888,1.1332856438997903e-09
1889,1.1164536239949285e-09
1890,1.1478226821396272e-09
1891,1.0380162324923653e-09
1892,9.857766944002373e-10
1893,8.435503367249758e-10
1894,3.8506402431716577e-10
1895,2.7936118497860566e-10
1896,2.979255889609281e-10
1897,2.3956785761518924e-10
1898,3.856738737896746e-10
1899,4.754125268061468e-10
1900,4.754125268061468e-10
1901,3.930888015884244e-10
1902,4.980006070219391e-10
1903,4.6073335028104113e-10
1904,4.312455571214053e-10
1905,3.104792573831767e-10
1906,3.8136813151901094e-10
1907,6.359578141879041e-10
1908,9.90520199592052e-10
1909,1.3722351290982156e-09
1910,4.002267947611493e-09
1911,7.404109803440687e-09
1912,8.732442308938865e-09
1913,1.8045450625844443e-08
1914,2.357777779365173e-08
1915,2.7107470966315972e-08
1916,4.615490009233067e-08
