year,lucky
1800,4.581980761031446e-06
1801,4.210981342112064e-06
1802,4.049405182134554e-06
1803,4.112107749928587e-06
1804,3.2948180432867957e-06
1805,3.0191112857989666e-06
1806,3.2163114675703194e-06
1807,2.993623086565224e-06
1808,3.07718736231826e-06
1809,2.953208292767938e-06
1810,2.736769537088029e-06
1811,2.6452974647587065e-06
1812,2.721695766792566e-06
1813,2.5464145372617556e-06
1814,2.5489014205959393e-06
1815,2.3636813628919688e-06
1816,2.4470593221589558e-06
1817,2.4089261257488815e-06
1818,2.4175485902690397e-06
1819,2.4714178640091892e-06
1820,2.4430690440827415e-06
1821,2.5884500181356477e-06
1822,2.7648576243726505e-06
1823,2.7900073291675653e-06
1824,2.7763391179697853e-06
1825,2.7765261490588145e-06
1826,2.765763740951245e-06
1827,2.8032594140573304e-06
1828,2.7402625814180022e-06
1829,2.495023993885427e-06
1830,2.490145431823164e-06
1831,2.570733516092462e-06
1832,2.713380711481607e-06
1833,2.847855544782111e-06
1834,2.960897160976726e-06
1835,3.128407895149264e-06
1836,3.4099527965736343e-06
1837,3.4689093289281506e-06
1838,3.5305524111858437e-06
1839,3.5459493119560648e-06
1840,3.5122914466358324e-06
1841,3.484349885444057e-06
1842,3.431440648325536e-06
1843,3.45613833425367e-06
1844,3.507580491454324e-06
1845,3.5112785943575934e-06
1846,3.5271639912285276e-06
1847,3.5198287540489607e-06
1848,3.5346258755453164e-06
1849,3.5858653778372433e-06
1850,3.544282825324834e-06
1851,3.517774985084543e-06
1852,3.545456788093101e-06
1853,3.5579741636736017e-06
1854,3.6505334394730326e-06
1855,3.6368115356058946e-06
1856,3.6619750452311043e-06
1857,3.6745141837205405e-06
1858,3.6464917749461686e-06
1859,3.5813869284798524e-06
1860,3.515131441287979e-06
1861,3.539706767696771e-06
1862,3.6525742481379505e-06
1863,3.5988610501850156e-06
1864,3.6223969865594493e-06
1865,3.6938864533502576e-06
1866,3.7839796017838774e-06
1867,3.831530713276672e-06
1868,3.806274500155788e-06
1869,3.743214197779058e-06
1870,3.807014341613727e-06
1871,3.7390860013277105e-06
1872,3.6675036686314603e-06
1873,3.567324808630344e-06
1874,3.5218853164613913e-06
1875,3.3872059118168963e-06
1876,3.3540487882938967e-06
1877,3.326272592728076e-06
1878,3.3753907311100714e-06
1879,3.372199703984994e-06
1880,3.4667942665172243e-06
1881,3.5364778016498477e-06
