year,lupin
1800,2.0831643077201534e-08
1801,2.7573249639090135e-08
1802,3.886753378405198e-08
1803,3.842410478682723e-08
1804,4.0563538306059854e-08
1805,4.425547775862729e-08
1806,3.945666041512855e-08
1807,3.5242840772704246e-08
1808,2.7451458503183598e-08
1809,2.9570232992373998e-08
1810,2.5951509005242964e-08
1811,2.381207548601034e-08
1812,2.0120136033442903e-08
1813,2.5292844517212287e-08
1814,2.6016646234186932e-08
1815,3.123246689844856e-08
1816,3.6254225653310964e-08
1817,5.0573493329661035e-08
1818,5.933584747351363e-08
1819,7.153583680974407e-08
1820,7.499011798829867e-08
1821,8.138766866799025e-08
1822,7.850805389913213e-08
1823,5.837547296343766e-08
1824,4.3715156574007456e-08
1825,4.110875842907749e-08
1826,2.9766211590802934e-08
1827,2.5728673287111244e-08
1828,1.9304297081492094e-08
1829,2.0877948512877864e-08
1830,2.766125094057413e-08
1831,2.8579352725647108e-08
1832,2.824981163282051e-08
1833,3.1578113711207475e-08
1834,3.251454407303202e-08
1835,3.2824235647004637e-08
1836,3.401538339886656e-08
1837,3.0430166196383975e-08
1838,3.093632169485058e-08
1839,2.919774974178121e-08
1840,3.406539152349199e-08
1841,3.4046967657884256e-08
1842,3.5249299859937567e-08
1843,3.3754644286026244e-08
1844,3.41851306627307e-08
1845,3.885413590865028e-08
1846,5.195169881590443e-08
1847,5.0308368772432136e-08
1848,5.134454715362478e-08
1849,5.236475354917859e-08
1850,5.595159916335238e-08
1851,5.938629347009997e-08
1852,5.912108846928277e-08
1853,4.874979302777709e-08
1854,4.5227032024237294e-08
1855,4.66114062902534e-08
1856,4.980914702912287e-08
1857,5.1888210807403216e-08
1858,4.726081849680343e-08
1859,5.073029463176226e-08
1860,4.579907323229041e-08
1861,4.4500570847308807e-08
1862,4.376401514199253e-08
1863,3.674905941457902e-08
1864,3.4636173802076494e-08
1865,3.475243280450156e-08
1866,2.9809393556742437e-08
1867,3.195513085886757e-08
1868,3.184776379125001e-08
1869,2.9586211829674928e-08
1870,3.269790051417333e-08
1871,3.0746071085932924e-08
1872,3.055632420106187e-08
1873,3.017610669279033e-08
1874,3.102284499131461e-08
1875,3.4584810444065235e-08
1876,3.8351189398814056e-08
1877,3.664228768026792e-08
1878,3.546905905490608e-08
1879,3.7033624421058316e-08
1880,3.642439848152078e-08
1881,3.436474393936351e-08
1882,3.681070204208936e-08
1883,3.206777294500236e-08
1884,3.1106996851398046e-08
1885,3.1774239874136715e-08
1886,3.162850248372706e-08
1887,3.408856942753248e-08
1888,3.546269056187157e-08
1889,3.16672808610617e-08
1890,3.140344010229715e-08
1891,3.2632609757245386e-08
1892,3.586250712268273e-08
1893,3.8148718469902376e-08
1894,6.055065959742478e-08
1895,6.65927270152419e-08
1896,6.63895275262608e-08
1897,7.319767040111661e-08
1898,7.869100977180616e-08
1899,7.838733953998858e-08
