year,sense and sensibility
1800,0.0
1801,7.271956548038361e-09
1802,1.559385924091809e-08
1803,1.3366165063644075e-08
1804,1.55055985828767e-08
1805,1.919753803544414e-08
1806,1.919753803544414e-08
1807,1.919753803544414e-08
1808,1.532488498006452e-08
1809,7.1529745935907025e-09
1810,7.1529745935907025e-09
1811,5.013541074358077e-09
1812,2.925279574128581e-09
1813,8.097988057897965e-09
1814,8.097988057897965e-09
1815,6.776386436107324e-09
1816,1.0928463213742492e-08
1817,1.524017762782088e-08
1818,1.8160962511615253e-08
1819,1.917156795221737e-08
1820,1.4783131290536339e-08
1821,1.5450632075340665e-08
1822,1.7786837970744174e-08
1823,2.116839662288531e-08
1824,2.3177849544404287e-08
1825,2.641302065953255e-08
1826,2.937211369362964e-08
1827,2.973520471119936e-08
1828,3.444990680025382e-08
1829,3.380797229470188e-08
1830,2.984264695677601e-08
1831,2.584731007004848e-08
1832,2.0419655934387848e-08
1833,1.969293109535134e-08
1834,2.3317920927468094e-08
1835,2.239037742514581e-08
1836,2.3368061136912795e-08
1837,2.4135757900215334e-08
1838,2.6489128477992707e-08
1839,3.09387611403216e-08
1840,2.9342043207845692e-08
1841,2.574986014890003e-08
1842,2.3663131644622937e-08
1843,2.425406415389781e-08
1844,2.2879013477401193e-08
1845,2.0614001172702956e-08
1846,1.7326461281592335e-08
1847,1.6496137789090426e-08
1848,1.8587786294282134e-08
1849,1.8668001493844192e-08
1850,1.8214955639044613e-08
1851,1.8492344163892734e-08
1852,1.7407176525604688e-08
1853,1.6919686984806503e-08
1854,1.5986395699282444e-08
1855,1.5031995965435792e-08
1856,1.53244693125641e-08
1857,1.4455333057534453e-08
1858,1.474021653941853e-08
1859,1.7013552979148827e-08
1860,2.0232284292376335e-08
1861,1.997223580169865e-08
1862,1.8682168066521043e-08
1863,1.7367308480231713e-08
1864,1.718710456494981e-08
1865,1.4657606239865117e-08
1866,1.1901986824674232e-08
1867,8.459460560621729e-09
1868,9.094259440749802e-09
1869,9.29938450054481e-09
1870,9.27401406463397e-09
1871,1.0027498958160258e-08
1872,1.1650184119003728e-08
1873,1.2938271152864087e-08
1874,1.3088805848683803e-08
1875,1.2294217326720108e-08
1876,1.2430600802661372e-08
1877,1.177139890324546e-08
1878,1.0146329300551673e-08
1879,9.070492737858364e-09
1880,8.17247685398164e-09
1881,9.306578301655172e-09
1882,8.859758133488477e-09
1883,8.620428307689768e-09
1884,8.812595669078455e-09
1885,9.961020770126489e-09
1886,9.368617944919118e-09
1887,8.60625907047766e-09
1888,7.131124643170292e-09
1889,7.143340585713531e-09
1890,7.287571371758109e-09
1891,7.79545742243418e-09
1892,7.300342996785503e-09
1893,7.331001837331184e-09
1894,8.297655959158386e-09
1895,7.806428075391686e-09
1896,9.021806349604082e-09
1897,9.34038706696632e-09
1898,8.600455078270182e-09
1899,8.613697437860018e-09
1900,8.491213192891273e-09
1901,7.449535306085815e-09
1902,7.738610990110878e-09
1903,6.525704579881822e-09
1904,5.248407169184637e-09
1905,5.053892574277288e-09
1906,4.30156028257451e-09
1907,3.827094577754256e-09
1908,3.951900299067493e-09
1909,3.4867662725344773e-09
1910,3.7982800714177395e-09
1911,4.302957545831987e-09
1912,4.453092402759548e-09
1913,4.240865658644566e-09
1914,4.443518188322417e-09
1915,4.6717447053725076e-09
1916,4.84900719577297e-09
1917,4.5001324888716e-09
1918,4.336042160245159e-09
1919,4.06221145610175e-09
1920,4.454274155867617e-09
1921,4.4319808775331435e-09
1922,4.518506140677963e-09
1923,4.812646122890182e-09
1924,5.563098648408982e-09
1925,5.916739320710462e-09
1926,6.690972347606865e-09
1927,6.1140324549212116e-09
1928,6.336980020092499e-09
1929,6.215705854779279e-09
1930,6.1204095125333424e-09
1931,5.807068794082073e-09
1932,5.688801874015326e-09
1933,5.736919701198368e-09
1934,6.386708178191774e-09
1935,6.158059332303115e-09
1936,6.3164865718842324e-09
1937,6.2461585110489585e-09
1938,5.5202177749537535e-09
1939,4.821384878640953e-09
1940,4.124869874238308e-09
1941,3.805286847529439e-09
1942,3.787336634784668e-09
1943,3.755490490015794e-09
1944,3.946086917545293e-09
1945,4.3167597115914955e-09
1946,4.5854026290267515e-09
1947,4.5728695116257055e-09
1948,5.65818978971931e-09
1949,6.606581630969848e-09
1950,7.072440157328077e-09
1951,7.177289048801835e-09
1952,7.2799355750013154e-09
1953,8.00027047783861e-09
1954,8.642531896490319e-09
1955,8.690016579342746e-09
1956,8.379622075592254e-09
1957,8.73216813143277e-09
1958,9.181369950031889e-09
1959,1.0398538411290507e-08
1960,1.0983641805596887e-08
1961,1.1358000254598925e-08
1962,1.0909640809789574e-08
1963,1.0844007596639521e-08
1964,1.0845412694899487e-08
1965,1.1084353498550366e-08
1966,1.0231987447793602e-08
1967,1.0116460938799524e-08
1968,9.942923690735889e-09
1969,9.990492116125033e-09
1970,1.038533437025535e-08
1971,9.835672847608684e-09
1972,9.321042096896041e-09
1973,9.3420962394524e-09
1974,9.279204579318697e-09
1975,8.677063956241682e-09
1976,7.90106189997784e-09
1977,7.4380505564265926e-09
1978,7.53767600717278e-09
1979,7.469132550547947e-09
1980,7.455007595374191e-09
1981,6.8720937511963194e-09
1982,7.055276934104475e-09
1983,7.537667125388583e-09
1984,7.200528490918552e-09
1985,7.008568646073497e-09
1986,6.994857835808586e-09
1987,6.907665106581362e-09
1988,7.033351171311811e-09
1989,7.365288188866868e-09
1990,7.2303495888905084e-09
1991,7.575646839999957e-09
1992,7.902767012219719e-09
1993,8.825517840347987e-09
1994,9.126946182951606e-09
1995,9.818979914858313e-09
1996,1.0725264105409288e-08
1997,1.121585789322564e-08
1998,1.1599901483805297e-08
1999,1.1730576256395255e-08
2000,1.1834383885554547e-08
2001,1.232922881249416e-08
2002,1.2806253581386175e-08
2003,1.2469490202298467e-08
2004,1.2261051475702191e-08
2005,1.2818917863707417e-08
2006,1.3418872870017497e-08
2007,1.3237415354337502e-08
2008,1.3207843580736217e-08
2009,1.2384759249885389e-08
2010,1.259619989265762e-08
2011,1.3531830386373907e-08
2012,1.6125485708633798e-08
2013,1.6032294476125182e-08
2014,1.6924549507889097e-08
2015,1.6994258191159262e-08
2016,1.739965581139456e-08
2017,1.7927269446715854e-08
2018,1.8352239905539135e-08
2019,1.4913905221902723e-08
