year,three wishes
1800,0.0
1801,0.0
1802,6.070469756499127e-09
1803,1.7418445606511212e-08
1804,1.7418445606511212e-08
1805,1.7418445606511212e-08
1806,1.7418445606511212e-08
1807,1.7418445606511212e-08
1808,1.867858210959282e-08
1809,1.4840818225130598e-08
1810,5.473290265456399e-09
1811,9.725265799025756e-09
1812,1.89467462671392e-08
1813,2.389420356812317e-08
1814,3.1963943999560995e-08
1815,3.0703807496479385e-08
1816,2.933831158965664e-08
1817,2.6490653734104593e-08
1818,2.2238678200535234e-08
1819,1.3017197732421794e-08
1820,1.1063035440120724e-08
1821,2.9932950086829025e-09
1822,2.9932950086829025e-09
1823,1.0198175510416668e-08
1824,1.1296389982159586e-08
1825,1.1296389982159586e-08
1826,1.3756536608257517e-08
1827,1.2593577609314771e-08
1828,1.396540990786629e-08
1829,1.4090252345840985e-08
1830,9.511791814504583e-09
1831,1.0641513781273204e-08
1832,1.0873455025262047e-08
1833,9.045674431717998e-09
1834,1.0096557241061938e-08
1835,1.0055831595983428e-08
1836,1.1556441311836148e-08
1837,1.2830421344415096e-08
1838,1.3062534339905848e-08
1839,1.4916162781121656e-08
1840,1.6723317080342374e-08
1841,1.5533538645838363e-08
1842,1.664165567254778e-08
1843,1.5672685244843317e-08
1844,1.4248957061876614e-08
1845,1.2778297023682431e-08
1846,1.348566604418368e-08
1847,1.3790415793429084e-08
1848,1.895113031581884e-08
1849,1.8032628977339626e-08
1850,1.9630956669759925e-08
1851,1.8700609061284013e-08
1852,1.9404783938422757e-08
1853,1.728134137378236e-08
1854,1.5409399280384506e-08
1855,1.1001939486427709e-08
1856,1.1153707608307123e-08
1857,9.720970250981509e-09
1858,1.357609294824361e-08
1859,1.2569081711940759e-08
1860,1.3205137935504548e-08
1861,1.4411636709407309e-08
1862,1.3646116110115664e-08
1863,1.4274467068681978e-08
1864,1.7144345625703343e-08
1865,1.3258028452867165e-08
1866,1.4285070015773726e-08
1867,1.391517866013357e-08
1868,1.360845233325644e-08
1869,1.294397979277408e-08
1870,1.250989794294404e-08
1871,1.0954099151559506e-08
1872,1.1040424511118578e-08
1873,1.208996617104877e-08
1874,1.326282588515986e-08
1875,1.2927218787491971e-08
1876,1.3444377293987081e-08
1877,1.2474842302014264e-08
1878,1.2680878125337358e-08
1879,1.3308355243221318e-08
1880,1.3896975443421816e-08
1881,1.4912083314198654e-08
1882,1.5185412483020855e-08
1883,1.4888832071997221e-08
1884,1.6914238263966907e-08
1885,1.7602106058437324e-08
1886,1.7310636226040643e-08
1887,1.6080097253734493e-08
1888,1.5731085513591225e-08
1889,1.7152790806765746e-08
1890,1.8255714781137807e-08
1891,1.7284828171934156e-08
1892,1.5196790175459844e-08
1893,1.6308998532618294e-08
1894,1.6293116252999847e-08
1895,1.5104705740144808e-08
1896,1.6149394900720282e-08
1897,1.5743178633747286e-08
1898,1.5649195272970928e-08
1899,1.7773773944692754e-08
1900,1.842435321768627e-08
