year,toy story
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,1.4443527326538482e-10
1848,1.4443527326538482e-10
1849,1.4443527326538482e-10
1850,1.4443527326538482e-10
1851,1.4443527326538482e-10
1852,1.4443527326538482e-10
1853,1.4443527326538482e-10
1854,0.0
1855,0.0
1856,0.0
1857,1.0275900765220416e-10
1858,1.0275900765220416e-10
1859,1.0275900765220416e-10
1860,2.6595305323086546e-10
1861,2.6595305323086546e-10
1862,2.6595305323086546e-10
1863,2.6595305323086546e-10
1864,1.6319404557866132e-10
1865,1.6319404557866132e-10
1866,1.6319404557866132e-10
1867,0.0
1868,0.0
1869,0.0
1870,8.889331334519365e-11
1871,8.889331334519365e-11
1872,8.889331334519365e-11
1873,8.889331334519365e-11
1874,8.889331334519365e-11
1875,2.5789252479567285e-10
1876,2.5789252479567285e-10
1877,1.6899921145047918e-10
1878,1.6899921145047918e-10
1879,1.6899921145047918e-10
1880,1.6899921145047918e-10
1881,1.6899921145047918e-10
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,1.661058909466614e-10
1892,1.661058909466614e-10
1893,1.661058909466614e-10
1894,2.0119481081160018e-10
1895,2.0119481081160018e-10
1896,2.0119481081160018e-10
1897,2.0119481081160018e-10
1898,3.5088919864938766e-11
1899,3.5088919864938766e-11
1900,3.5088919864938766e-11
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,1.9435617797698105e-11
1912,1.9435617797698105e-11
1913,7.371314471514369e-11
1914,9.221842733886376e-11
1915,9.221842733886376e-11
1916,9.221842733886376e-11
1917,9.221842733886376e-11
1918,7.278280954116565e-11
1919,7.278280954116565e-11
1920,1.8505282623720073e-11
1921,3.8103706697814996e-11
1922,1.4189706156107563e-10
1923,2.135617119655312e-10
1924,3.5185470806783515e-10
1925,4.795469458037818e-10
1926,5.118420290780737e-10
1927,5.760591606903834e-10
1928,6.027124672363421e-10
1929,4.989191123730815e-10
1930,4.662026558450399e-10
1931,3.2790965974273586e-10
1932,2.002174220067892e-10
1933,2.0062984805248518e-10
1934,1.364127164401755e-10
1935,7.165570319640174e-11
1936,7.165570319640174e-11
1937,6.106312479468658e-11
1938,8.766782538011902e-11
1939,8.766782538011902e-11
1940,5.496031606013117e-11
1941,5.496031606013117e-11
1942,5.496031606013117e-11
1943,5.496031606013117e-11
1944,7.67616545723929e-11
1945,5.015695398696047e-11
1946,9.393854345190228e-11
1947,9.393854345190228e-11
1948,1.6502972401331662e-10
1949,4.045043546150952e-10
1950,4.763092261875609e-10
1951,4.2615227220060044e-10
1952,4.2615227220060044e-10
1953,4.0481051645700564e-10
1954,4.252253351020942e-10
1955,3.5413415454067984e-10
1956,1.1465952393890128e-10
1957,6.123844487060381e-11
1958,9.512360542109275e-11
1959,1.1151657177053766e-10
1960,1.0434385696747991e-10
1961,8.392903832239134e-11
1962,9.861926156659199e-11
1963,9.861926156659199e-11
1964,1.456785803100047e-10
1965,1.5043347916560938e-10
1966,1.467264633205266e-10
1967,1.569960282808504e-10
1968,1.569960282808504e-10
1969,1.4230580503664976e-10
1970,1.4230580503664976e-10
1971,8.964175532818634e-11
1972,6.342118199656862e-11
1973,6.230727342800994e-11
1974,3.6770589549396855e-11
1975,8.197780053993092e-11
1976,8.197780053993092e-11
1977,8.197780053993092e-11
1978,6.91987390008134e-11
1979,6.827017522732198e-11
1980,5.669813329151856e-11
1981,6.76794027566961e-11
1982,4.381274212475869e-11
1983,5.454667174291978e-11
1984,6.519286598655988e-11
1985,6.519286598655988e-11
1986,6.363493957963127e-11
1987,1.114377171889431e-10
1988,1.1031665462076949e-10
1989,9.850328786769375e-11
1990,1.9133629105708546e-10
1991,2.2784622502206427e-10
1992,2.824661645457154e-10
1993,6.031236442811355e-10
1994,7.287271401392102e-10
1995,9.273681178137824e-10
1996,1.0699637723440451e-09
1997,1.1755062994429316e-09
1998,1.2595448691968665e-09
1999,1.2986734148385487e-09
2000,1.066730053495795e-09
2001,1.0402820351172538e-09
2002,9.300157310931922e-10
2003,8.857060323259297e-10
2004,9.317890268891104e-10
2005,9.594704792575165e-10
2006,9.230824557108061e-10
2007,1.027272659794219e-09
2008,9.972689618553687e-10
2009,1.0250846639779455e-09
2010,1.1147032463743045e-09
2011,1.2625087126532414e-09
2012,1.2756902954626425e-09
2013,1.4413805387342953e-09
2014,1.3954239668529616e-09
2015,1.4261232670977263e-09
2016,1.5589610079049164e-09
2017,1.5884508338300425e-09
2018,1.3419439115480713e-09
2019,1.3763288564394571e-09
