year,twilight
1800,4.333198262429505e-06
1801,4.106490769117954e-06
1802,3.9337280289449455e-06
1803,3.9874105368653545e-06
1804,3.1424719639159904e-06
1805,3.116357220278587e-06
1806,3.1938674445492713e-06
1807,3.239961058300521e-06
1808,3.32604492671505e-06
1809,4.013512807432562e-06
1810,3.813677332280869e-06
1811,3.8752671441346005e-06
1812,3.988872614562362e-06
1813,3.963662460851733e-06
1814,3.982342572531447e-06
1815,4.031681523234251e-06
1816,3.6073554058800383e-06
1817,3.9015428358522645e-06
1818,4.217818449043469e-06
1819,4.437240217417379e-06
1820,4.53202557894526e-06
1821,4.813183945121377e-06
1822,4.864875531243992e-06
1823,5.108645837026415e-06
1824,5.411186261231446e-06
1825,5.460147934042782e-06
1826,5.785203029518016e-06
1827,6.071754341974156e-06
1828,6.322897726412131e-06
1829,6.150739019566183e-06
1830,6.08664036657761e-06
1831,5.952493016333652e-06
1832,6.08714689016259e-06
1833,6.160425073176157e-06
1834,6.304174673589712e-06
1835,6.5870838495486946e-06
1836,7.305025454635532e-06
1837,7.365076401453864e-06
1838,7.638706977429268e-06
1839,7.940634077385766e-06
1840,7.988621031732432e-06
1841,8.06308974331062e-06
1842,7.974747924371123e-06
1843,7.824758735556056e-06
1844,8.075675201065938e-06
1845,8.233698216437396e-06
1846,8.175645559406672e-06
1847,8.430394375734198e-06
1848,8.567319387761277e-06
1849,8.61350222943916e-06
1850,8.76914366797012e-06
1851,8.7994811630259e-06
1852,8.68865897375924e-06
1853,8.731689766656408e-06
1854,8.748636641290172e-06
1855,8.615282240498345e-06
1856,8.473239047037038e-06
1857,8.378406294338805e-06
1858,8.129058837117295e-06
1859,8.076289045025728e-06
1860,7.900479561482956e-06
1861,7.742597517790273e-06
1862,7.824167758891626e-06
1863,7.809301223460352e-06
1864,7.877815148406495e-06
1865,7.935777960353465e-06
1866,7.927343696272665e-06
1867,7.867882556768433e-06
1868,7.754632016648039e-06
1869,7.5349796264033235e-06
1870,7.561657119887448e-06
1871,7.3682975068680075e-06
1872,7.409921701244977e-06
1873,7.279457674615385e-06
1874,7.184872564331661e-06
1875,6.995369273811645e-06
1876,6.913199350882289e-06
1877,6.771184806504087e-06
1878,6.704649682173372e-06
1879,6.62366424616526e-06
1880,6.679149854400228e-06
1881,6.638280150842288e-06
1882,6.590480292548559e-06
1883,6.508545603927425e-06
1884,6.344682268328532e-06
1885,6.308540248158222e-06
1886,6.058556079681564e-06
1887,5.850240865713983e-06
1888,5.769577390830298e-06
1889,5.768910211502641e-06
1890,5.8057707974512596e-06
1891,5.7954672619026885e-06
1892,5.613941344303644e-06
1893,5.6013430236946856e-06
1894,5.452059797659915e-06
1895,5.332841478126024e-06
1896,5.34889276033417e-06
1897,5.35967858793031e-06
1898,5.231095916055242e-06
1899,5.28700599846031e-06
1900,5.20482139368791e-06
1901,5.1858824658016345e-06
1902,5.082242166411431e-06
1903,4.78593951161851e-06
1904,4.588198277945464e-06
1905,4.502655948661933e-06
1906,4.35648761205292e-06
1907,4.293373032331667e-06
1908,4.131508376303827e-06
1909,4.02438351037355e-06
1910,3.898331182686629e-06
1911,3.802615343114927e-06
1912,3.7508519718747787e-06
1913,3.6487055824961445e-06
1914,3.57951587050463e-06
1915,3.5443870274320943e-06
1916,3.5413651663215466e-06
1917,3.543602880589398e-06
1918,3.4888216110370455e-06
1919,3.5036763230371955e-06
1920,3.565731991069957e-06
1921,3.577292545742239e-06
1922,3.6823337268288014e-06
1923,3.7244763656677345e-06
1924,3.8134436895883743e-06
1925,3.8519170694988655e-06
1926,3.850469901018576e-06
1927,3.779409780690912e-06
1928,3.702016036705962e-06
1929,3.5413804328397547e-06
1930,3.429621334102454e-06
1931,3.2955850721399268e-06
1932,3.24602563393585e-06
1933,3.18392663497694e-06
1934,3.170870871014943e-06
1935,3.153753531088504e-06
1936,3.0821531384260325e-06
1937,3.023453181023277e-06
1938,2.9320917422280346e-06
1939,2.9058412889883456e-06
1940,2.8557071800605627e-06
1941,2.7565788514039014e-06
1942,2.721174041653285e-06
1943,2.7504322263536906e-06
1944,2.753457692961092e-06
1945,2.761034368502026e-06
1946,2.652288133374116e-06
1947,2.5977319312784985e-06
1948,2.575939561211271e-06
1949,2.5154678756475083e-06
1950,2.4679128338383246e-06
1951,2.4607005083713114e-06
1952,2.4335578733111366e-06
1953,2.4458372536173556e-06
1954,2.405585161925826e-06
1955,2.3987195163499564e-06
1956,2.4335912322775196e-06
1957,2.4330774652168785e-06
1958,2.430140252077503e-06
1959,2.480640724960332e-06
1960,2.5120359948362292e-06
1961,2.515482557490551e-06
1962,2.563176232277848e-06
1963,2.581599801487755e-06
1964,2.61029318997836e-06
1965,2.5984194767910855e-06
1966,2.5733396731603923e-06
1967,2.5701246418715788e-06
1968,2.533246353258229e-06
1969,2.417415804042581e-06
1970,2.289088034298662e-06
1971,2.171509143928623e-06
1972,2.058240625046892e-06
1973,1.9269572411368633e-06
1974,1.8011133663873937e-06
1975,1.7320413040319442e-06
1976,1.6708863118505439e-06
1977,1.6337851970352598e-06
1978,1.6094046161794852e-06
1979,1.5986143710376512e-06
1980,1.5910380852801609e-06
1981,1.5927628120542586e-06
1982,1.6016967135458669e-06
1983,1.610182234149501e-06
1984,1.6298994134038885e-06
1985,1.6449471331725363e-06
1986,1.6690886793315128e-06
1987,1.683959827200202e-06
1988,1.683073979360675e-06
1989,1.698335365420332e-06
1990,1.722654474178853e-06
1991,1.7210031078970393e-06
1992,1.7164276511851182e-06
1993,1.7347564055723654e-06
1994,1.756893019384214e-06
1995,1.7767714715383981e-06
1996,1.7962387508824967e-06
1997,1.841989079106757e-06
1998,1.9066790823022269e-06
1999,1.980867344692732e-06
2000,2.04525827030011e-06
2001,2.1797437576814057e-06
2002,2.2982805083821793e-06
2003,2.3766106096445583e-06
2004,2.425322009003139e-06
2005,2.4954832237459153e-06
2006,2.631041817429442e-06
2007,2.659562336962803e-06
2008,2.6686593303436112e-06
2009,2.6324998998461524e-06
2010,2.6612978477455077e-06
2011,2.7430591152161857e-06
2012,2.812054357751289e-06
2013,2.7773132517592913e-06
2014,2.812140564856236e-06
2015,2.8446885867846764e-06
2016,2.859383617500758e-06
2017,2.899027473783159e-06
2018,2.8778871637769043e-06
2019,2.817188146764238e-06
