year,waiting to exhale
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,3.5210031715645785e-10
1865,3.5210031715645785e-10
1866,3.5210031715645785e-10
1867,3.5210031715645785e-10
1868,3.5210031715645785e-10
1869,3.5210031715645785e-10
1870,3.5210031715645785e-10
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,0.0
1922,0.0
1923,0.0
1924,0.0
1925,0.0
1926,0.0
1927,0.0
1928,0.0
1929,0.0
1930,0.0
1931,0.0
1932,0.0
1933,0.0
1934,0.0
1935,0.0
1936,0.0
1937,0.0
1938,0.0
1939,0.0
1940,0.0
1941,0.0
1942,0.0
1943,0.0
1944,0.0
1945,0.0
1946,0.0
1947,0.0
1948,0.0
1949,0.0
1950,0.0
1951,0.0
1952,0.0
1953,0.0
1954,0.0
1955,2.198875407152404e-11
1956,2.198875407152404e-11
1957,2.198875407152404e-11
1958,2.198875407152404e-11
1959,3.9218463793971075e-11
1960,3.9218463793971075e-11
1961,3.9218463793971075e-11
1962,6.355638237920402e-11
1963,6.355638237920402e-11
1964,6.355638237920402e-11
1965,6.355638237920402e-11
1966,4.6326672656756986e-11
1967,4.6326672656756986e-11
1968,5.972151146631838e-11
1969,1.3394838809561398e-11
1970,2.6488739773051454e-11
1971,2.6488739773051454e-11
1972,2.6488739773051454e-11
1973,2.6488739773051454e-11
1974,2.6488739773051454e-11
1975,1.3093900963490057e-11
1976,1.3093900963490057e-11
1977,0.0
1978,0.0
1979,0.0
1980,0.0
1981,0.0
1982,0.0
1983,0.0
1984,0.0
1985,0.0
1986,3.1354843324901285e-11
1987,3.1354843324901285e-11
1988,3.1354843324901285e-11
1989,1.5159133075799096e-10
1990,1.911990486571012e-10
1991,2.9034489098681403e-10
1992,4.4344843670123575e-10
1993,9.483710285339087e-10
1994,1.221860037750996e-09
1995,1.90908510825213e-09
1996,2.0886746895535222e-09
1997,2.351460891082878e-09
1998,2.6570556707231472e-09
1999,3.0869429235025336e-09
2000,2.879198847592436e-09
2001,2.9833170219920444e-09
2002,2.727865806256042e-09
2003,2.7678916936224596e-09
2004,2.8869596554618025e-09
2005,2.7472786902547698e-09
2006,2.6968111236210947e-09
2007,2.9247660166780473e-09
2008,2.9407627444300033e-09
2009,3.1620919850792818e-09
2010,3.2579739223897216e-09
2011,3.1358474864414833e-09
2012,3.2630552228494837e-09
2013,3.0121063421262306e-09
2014,2.877463029753764e-09
2015,2.9497595794530137e-09
2016,2.6185738339583916e-09
2017,2.546646597304895e-09
2018,2.636906293318475e-09
2019,2.6096649285989315e-09
